Make,Model,Model Year,Valid MSRP
PORSCHE,918,2015,845000.0
PORSCHE,PANAMERA,2018,184400.0
TESLA,ROADSTER,2010,110950.0
TESLA,ROADSTER,2011,109000.0
FISKER,KARMA,2012,102000.0
TESLA,ROADSTER,2008,98950.0
BMW,740E,2019,91250.0
BMW,740E,2018,90700.0
BMW,740E,2017,89100.0
PORSCHE,CAYENNE,2020,81100.0
CADILLAC,CT6,2018,75095.0
CADILLAC,CT6,2017,75095.0
TESLA,MODEL S,2014,69900.0
TESLA,MODEL S,2013,69900.0
VOLVO,XC90,2018,64950.0
TESLA,MODEL S,2012,59900.0
BMW,530E,2019,55700.0
BMW,530E,2018,54950.0
BMW,530E,2019,53400.0
VOLVO,XC60,2019,52900.0
VOLVO,XC60,2018,52900.0
BMW,530E,2018,52650.0
BMW,330E,2018,45600.0
BMW,330E,2017,44100.0
BMW,330E,2016,43700.0
CHRYSLER,PACIFICA,2019,39995.0
MINI,COUNTRYMAN,2019,36900.0
MINI,COUNTRYMAN,2018,36800.0
SUBARU,CROSSTREK,2019,34995.0
KIA,SOUL EV,2018,33950.0
WHEEGO ELECTRIC CARS,WHEEGO,2010,32995.0
KIA,SOUL EV,2017,32250.0
KIA,SOUL,2016,31950.0
